discipline_id,term,definition
general-psych,Изоморфизм,Отношение взаимного структурного соответствия (по А.Н. Леонтьеву — между структурой внешней деятельности и строением внутренней мотивационной сферы).
general-psych,Каузальная атрибуция,"Феномен межличностного восприятия, заключающийся в приписывании человеку причин его поведения в условиях дефицита объективной информации."
social-psych,Социальная психология,"Отрасль психологии, изучающая закономерности поведения и деятельности людей, обусловленные их включением в социальные группы, а также характеристики этих групп."
social-psych,Психология народов,"Одна из первых социально-психологических теорий (В. Вундт), утверждавшая, что главной движущей силой истории является сверхиндивидуальная 'душа народа', выраженная в языке и мифах."
social-psych,Психология масс,"Историческая концепция (Г. Лебон), исследовавшая поведение людей в толпе и постулировавшая автоматическую утрату интеллекта, критичности и индивидуальности человека в массе."
social-psych,Групповая динамика,"Совокупность внутригрупповых социально-психологических процессов и механизмов (лидерство, сплоченность, нормы), определяющих жизнедеятельность и развитие малой группы."
social-psych,Социальное научение,Процесс формирования новых форм поведения личности (по А. Бандуре) путем целенаправленного наблюдения за действиями других людей и моделирования их поступков.
social-psych,Интеракционизм,"Теоретическое направление, утверждающее, что личность и социальное поведение рождаются исключительно в процессах символического взаимодействия (интеракции) между людьми."
social-psych,Теория отношений Мясищева,"Психологическая концепция, рассматривающая человеческую личность как развернутую систему её субъективно-избирательных, сознательных отношений к обществу и самой себе."
social-psych,Социальное поведение,"Внешне выраженная форма активности человека, отражающая его отношение к обществу, социальным группам, культурным ценностям, нормам и другим людям."
social-psych,Просоциальное поведение,"Действия человека, направленные на благо других людей, бескорыстную помощь, альтруизм, сотрудничество и поддержку окружающих без явной выгоды для себя."
social-psych,Конформное поведение,Изменение индивидом своего первоначального поведения или мнений под влиянием реального или воображаемого давления группы с целью достижения согласия с ней.
social-psych,Личностные диспозиции,"Устойчивые внутренние склонности, установки, ценности и свойства личности, определяющие её общую психологическую готовность к определенному социальному поведению."
social-psych,Социальный статус,"Объективное положение индивида в структуре общества или малой группы, определяющее его права, обязанности, круг связей и степень ценностного влияния."
social-psych,Предписанный статус,"Социальный статус, получаемый человеком автоматически от рождения независимо от его воли, личных усилий, выбора и заслуг (пол, раса, возраст)."
social-psych,Достигаемый статус,"Социальный статус, который человек приобретает в обществе и группе благодаря собственным целенаправленным усилиям, выбору, образованию и труду."
social-psych,Институциональные отношения,"Формальные, официальные взаимосвязи между людьми, жестко регламентированные уставами, законами, инструкциями и должностной иерархией организации."
social-psych,Социальная роль,"Динамический аспект статуса; нормативно одобренный, ожидаемый от человека паттерн поведения, обусловленный его конкретной позицией в группе."
social-psych,Межролевой конфликт,"Ролевой конфликт, возникающий при полной несовместимости требований различных социальных ролей, одновременно выполняемых одним и тем же человеком."
social-psych,Внутриролевой конфликт,"Ситуация, при которой разные социальные участники или группы предъявляют противоположные, несовместимые ожидания к выполнению одной роли индивида."
social-psych,Личностно-ролевой конфликт,"Внутренний конфликт, вызванный полным противоречием между внешними требованиями социальной роли и собственными ценностями, характером и Я-концепцией человека."
social-psych,Ценностные ориентации,"Важнейшие компоненты структуры личности, отражающие её внутреннюю направленность на конкретные социальные ценности, идеалы и долгосрочные жизненные цели."
social-psych,Моральное развитие личности,"Процесс последовательного усвоения и интериоризации человеком в онтогенезе этических норм, правил и универсальных принципов, регулирующих его поступки."
social-psych,Коллективизм,"Культурный синдром (по Г. Хофстеде), характеризующийся безусловным приоритетом целей, традиций и интересов социальной группы над индивидуальными целями личности."
social-psych,Индивидуализм,"Культурный синдром (по Г. Хофстеде), при котором личные цели, автономия Я, независимость, права и личные достижения человека ценятся выше интересов группы."
social-psych,Аттитюд,Социальная установка; сформированная на основе прошлого опыта устойчивая психологическая готовность личности к определенному поведению и оценке объекта.
social-psych,Аффективный компонент,"Эмоциональная составляющая аттитюда, выражающаяся в чувствах, переживаниях, симпатиях или антипатиях личности к социальному объекту."
social-psych,Конативный компонент,"Поведенческий элемент социальной установки, представляющий собой непосредственную готовность и интенцию человека к практическому действию."
social-psych,Диспозиционная система Ядова,"Иерархическая структура высшей регуляции поведения, включающая элементарные фиксированные установки, социальные аттитюды и высшие ценностные ориентации."
social-psych,Парадокс Лапьера,"Социально-психологический феномен, фиксирующий явное несовпадение между вербально задекларированной установкой человека и его реальным практическим поведением."
social-psych,Когнитивный диссонанс,"Состояние психологического дискомфорта (по Л. Фестингеру), вызванное столкновением в сознании человека противоречащих друг другу знаний, мыслей или действий."
social-psych,Убеждающая коммуникация,"Целенаправленный процесс передачи информации, сообщений или логических аргументов с целью изменения социальных установок и мнений аудитории."
social-psych,Коммуникатор,"Субъект (личность или группа), являющийся источником, автором и инициатором передачи сообщения в процессе речевого или информационного взаимодействия."
social-psych,Ригидность установок,"Степень жесткости, слабой изменчивости и повышенной сопротивляемости социальной установки к внешним убеждающим или корректирующим воздействиям."
social-psych,Референтная группа,"Реальная или воображаемая социальная группа, ценности, нормы, мнения и стандарты которой выступают для личности эталоном собственного поведения."
social-psych,Группообразование,"Процесс превращения случайного скопления людей в психологически целостную, структурированную малую группу, объединенную целями, ролями и нормами."
social-psych,Групповая идентичность,"Психологический феномен глубокого осознания индивидом своей принадлежности к конкретной социальной группе, выражающийся в чувстве 'Мы'."
social-psych,Аффилиация,"Фундаментальная социальная потребность человека в поиске контактов, общении, эмоциональном сближении, одобрении и доверительном принятии другими."
social-psych,Коллектив,"Высший уровень развития малой группы, характеризующийся социально полезными целями труда и отношениями, полностью опосредованными общими ценностями."
social-psych,Стратометрическая концепция,"Теория А.В. Петровского, рассматривающая структуру группы как систему концентрических слоев (страт), различающихся степенью опосредованности отношений деятельностью."
social-psych,Ценностно-ориентационное единство,"Показатель сплоченности группы (ЦОУ), выражающийся в совпадении оценок, мнений, идеалов и ценностей членов команды по отношению к значимым объектам."
social-psych,Корпорация,"Уровень развития группы, отличающийся высокой внутренней сплоченностью на основе группового эгоизма, при котором цели общности противопоставляются обществу."
social-psych,Лидерство,"Процесс неформального психологического влияния индивида на членов малой группы, основанный на личных симпатиях, авторитете и признании его главенствующей роли."
social-psych,Руководство,"Официальный, институционально закрепленный процесс управления группой со стороны назначенного руководителя, обладающего формальной властью и административными санкциями."
social-psych,Авторитарный стиль,"Стиль управления (по К. Левину), характеризующийся единоличным принятием решений лидером, жестким тотальным контролем и директивной формой приказов."
social-psych,Демократический стиль,"Стиль руководства (по К. Левину), основанный на коллегиальном принятии решений, уважении, делегировании полномочий и стимулировании инициативы."
social-psych,Групповая идентификация,"Психологический процесс уподобления индивида своей группе, восприятие её успехов, неудач, ценностей и целей как собственных."
social-psych,Сдвиг к риску,"Социально-психологический феномен, выражающийся в тенденции группы принимать более рискованные и радикальные решения по сравнению с первоначальными мнениями участников."
social-psych,Огруппление мышления,"Дезадаптивный стиль группового мышления (Groupthink), при котором стремление к полному единомыслию подавляет критический анализ альтернативных вариантов."
social-psych,Групповая поляризация,"Феномен, при котором в процессе дискуссии первоначальные мнения участников не сближаются, а сдвигаются к более крайним, противоположным радикальным полюсам."
social-psych,Психическое заражение,"Процесс бессознательной, автоматической передачи аффективного эмоционального состояния (паники, экстаза) от одного человека к другому, нарастающий в толпе лавинообразно."
social-psych,Суггестия,"Внушение; процесс целенаправленного вербального или невербального воздействия на психику, воспринимаемый человеком без критического осмысления и логического анализа."
social-psych,Паника,"Массовое эмоциональное состояние острого страха, характеризующееся деиндивидуализацией сознания, потерей волевого самоконтроля и хаотичным эгоцентрическим бегством."
social-psych,Циркулярная реакция,"Социально-психологический механизм взаимного заражения и лавинообразного нарастания эмоционального напряжения в толпе, стирающий индивидуальный самоконтроль."
developmental-psych,Психология развития,"Фундаментальная отрасль психологии, изучающая закономерности, механизмы и скрытые причины временной динамики человеческой психики в филогенезе и онтогенезе."
developmental-psych,Возрастная психология,"Раздел психологии, изучающий хронологические этапы онтогенеза, возрастные нормы, закономерности смены возрастов и специфику развития личности на разных жизненных стадиях."
developmental-psych,Абсолютный возраст,"Календарный (хронологический) возраст, выражающийся количеством объективных временных единиц (лет, месяцев, дней), прошедших с момента рождения человека."
developmental-psych,Условный возраст,"Возраст развития, определяемый путем сопоставления индивидуального уровня психического, когнитивного или физиологического созревания человека со среднестатистическими нормами."
developmental-psych,Биологический возраст,"Совокупность морфофункциональных признаков, характеризующих текущее состояние созревания, уровень жизнеспособности и общее здоровье систем органов."
developmental-psych,Психологический возраст,"Новый уровень умственного и личностного развития человека, отражающий степень его адаптации к среде и субъективное отношение к собственному возрасту."
developmental-psych,Возрастная норма,"Объективный диапазон типичных для конкретного этапа онтогенеза показателей психического развития, отражающих полноценное функционирование систем в данной культуре."
developmental-psych,Метод поперечных срезов,"Исследовательский подход, заключающийся в одновременном изучении и сравнении определенных психических свойств у разных групп людей, находящихся на разных возрастных ступенях."
developmental-psych,Лонгитюдное исследование,"Организационная схема, предполагающая многократное, непрерывное и систематическое обследование одних и тех же лиц на протяжении длительного времени (многих лет)."
developmental-psych,Биологическое созревание,"Процесс развития, спонтанно протекающий под влиянием врожденных, эндогенно запрограммированных и наследственно детерминированных факторов вне зависимости от внешнего опыта."
developmental-psych,Научение,"Процесс и результат приобретения индивидуального опыта под влиянием среды, приводящий к относительно устойчивым изменениям поведения, знаний, умений и мотивов."
developmental-psych,Импринтинг,"Форма мгновенного, автоматического и необратимого запечатления в памяти новорожденного признаков внешних объектов в строго определенный (критический) период возраста."
developmental-psych,Социализация,"Двунаправленный процесс врастания индивида в социальную среду, в ходе которого он активно усваивает ценности, нормы, культуру и социальные роли общества."
developmental-psych,Концепция рекапитуляции,"Биогенетическая теория Ст. Холла, утверждающая, что ребенок в своем индивидуальном развитии (онтогенезе) кратко повторяет все стадии исторического развития человечества."
developmental-psych,Оперантное обусловливание,"Форма научения по Б. Скиннеру, при которой поведение закрепляется или угасает в зависимости от его последствий (положительного или отрицательного подкрепления)."
developmental-psych,Теория трех ступеней,"Преформистская концепция К. Бюлера, утверждающая, что развитие поведения ребенка последовательно проходит три биологические стадии: инстинкт, дрессуру и интеллект."
developmental-psych,Базальная тревога,"Понятие К. Хорни, обозначающее глубокое, бессознательное чувство одиночества, беспомощности и незащищенности ребенка перед лицом потенциально враждебного внешнего мира."
developmental-psych,Социальная ситуация развития,"Специфическое, исключительное и неповторимое для каждого возраста отношение между ребенком и окружающей его социальной действительностью по Л. С. Выготскому."
developmental-psych,Возрастное новообразование,"Качественно новый тип личности человека и его взаимодействия с миром, возникающий в конце определенного возрастного этапа и перестраивающий структуру сознания."
developmental-psych,Зона ближайшего развития,"Понятие Л. С. Выготского, описывающее область еще не созревших психических функций и определяющее разницу между самостоятельными действиями ребенка и его возможностями при помощи взрослого."
developmental-psych,Комплекс оживления,Центральное новообразование кризиса новорожденности; специфическая эмоционально-двигательная реакция младенца на появление близкого взрослого.
developmental-psych,Ситуативно-личностное общение,"Первая форма общения ребенка со взрослым (по М.И. Лисиной, до 6 мес.), направленная исключительно на обмен положительными эмоциями."
developmental-psych,Ситуативно-деловое общение,"Форма общения, при которой взрослый выступает для ребенка как соучастник предметных манипуляций и помощник в практической деятельности."
developmental-psych,Ручные действия,"Действия ребенка с предметом (по П.Я. Гальперину), при которых вещь используется как простое анатомическое продолжение руки."
developmental-psych,Орудийные действия,"Сложные действия (по П.Я. Гальперину), требующие перестройки моторики руки и подчинения её логике и общественной функции предмета-орудия."
developmental-psych,Знаковая функция сознания,Способность человеческой психики использовать одни материальные объекты в качестве символических заместителей других предметов.
developmental-psych,Репрезентативное мышление,"Первичная воспроизводящая форма мыслительной активности в раннем возрасте, основанная на оперировании внутренними образами памяти."
developmental-psych,Негативизм,"Симптом кризиса трех лет; отрицательная поведенческая реакция, вызванная стремлением сделать наперекор предложению конкретного взрослого."
developmental-psych,Строптивость,"Симптом кризиса трех лет; генерализованный безличный протест ребенка против привычного образа жизни, семейных порядков и вещей дома."
developmental-psych,Своеволие,"Симптом кризиса трех лет; настойчивое стремление ребенка к полной независимости своего замысла, намерения и самостоятельности действий."
developmental-psych,Гордость за достижения,Комплексное новообразование кризиса трех лет; острая чувствительность к результатам своего труда и потребность в одобрении взрослых.
developmental-psych,Идеальная форма,"Высшая, исторически развитая часть социокультурной реальности, выступающая ориентиром, образцом и источником развития для ребенка."
developmental-psych,Внеситуативно-познавательное общение,"Форма общения дошкольника (по М.И. Лисиной, 4–5 лет), направленная на теоретическое познание мира вещей, где взрослый выступает экспертом."
developmental-psych,Внеситуативно-личностное общение,"Высшая форма общения ребенка со взрослым (по М.И. Лисиной, 6–7 лет), центрированная на мире людей, их качеств, поступков и моральных норм."
developmental-psych,Соподчинение мотивов,"Центральное личностное новообразование дошкольного возраста; формирование иерархии желаний, где нормы долга начинают сдерживать импульсы."
developmental-psych,Гуманистическая эмпатия,"Высший тип эмоционального сопереживания, выражающийся в бескорыстном сочувствии, сострадании и принятии решений исключительно в пользу другого."
developmental-psych,Сюжет игры,"Компонент структуры игровой деятельности; сценарий, логика и конкретная последовательность событий, разыгрываемых детьми в условной ситуации."
developmental-psych,Содержание игры,"Главный, стержневой момент деятельности взрослых, который ребенок выделяет и делает основным смысловым фокусом своей ролевой игры."
developmental-psych,Восприятие сказки,"Специфическая деятельность дошкольника, основанная на механизме мысленного содействия и принятия роли героя, развивающая воображение."
developmental-psych,Конструирование по условиям,"Вид продуктивной деятельности, требующий от ребенка создания постройки в соответствии с жесткими внешними критериями и задачами взрослого."
developmental-psych,Утрата детской непосредственности,"Симптом кризиса 7 лет; появление между желанием и поступком мысленного компонента, лишающего поведение ребенка былой наивности."
developmental-psych,Аффективное обобщение,"Психический процесс формирования логики чувств по Л. С. Выготскому, объединяющий единичные переживания ребенка в устойчивую самооценку."
developmental-psych,Внутренняя позиция школьника,"Личностное новообразование по Л. И. Божович; осознанная система потребностей ребенка, выражающаяся в устойчивом стремлении стать учеником."
developmental-psych,Физиологическая буря,"Начальный ориентировочный этап адаптации первоклассника к школе, характеризующийся предельным напряжением всех биологических систем организма."
developmental-psych,Учебная деятельность,"Ведущая деятельность младшего школьника, направленная на целенаправленное усвоение теоретических знаний и общих способов решения задач."
developmental-psych,Внутренний план действий,Когнитивное новообразование младшего школьного возраста; способность человека выполнять сложные логические операции целиком в уме.
developmental-psych,Учебно-познавательный мотив,"Группа учебных мотивов по А. К. Марковой; устойчивый интерес школьника не просто к новым фактам, а к самим способам добывания знаний."
developmental-psych,Кризис 10 лет,"Нормативный предподростковый кризис, характеризующийся падением авторитета учителя, снижением успеваемости и ростом самокритичности."
developmental-psych,Чувство взрослости,Центральное новообразование подросткового возраста; субъективное отношение к себе как к взрослому при сохранении детского статуса.
developmental-psych,Реакция эмансипации,"Поведенческая реакция подростка, выражающаяся в настойчивом стремлении освободиться от тотальной опеки, контроля и руководства взрослых."
developmental-psych,Реакция гиперкомпенсации,"Стремление подростка добиться максимального успеха именно в той области, в которой он объективно обнаруживает наибольшую слабость."
developmental-psych,Огрупление мышления,"Дезадаптивный стиль принятия групповых решений (Groupthink), при котором стремление к полному единомыслию подавляет критический анализ рисков."
developmental-psych,Психосоциальный мораторий,"Понятие Э. Эриксона; нормативная отсрочка окончательного взросления, дающая юношеству время на экспериментальные пробы социальных ролей."
developmental-psych,Несовпадение видов зрелости,"Постулат Б. Г. Ананьева об асинхронности достижения человеком физиологической, гражданской, умственной зрелости и общей трудоспособности."
developmental-psych,Кризис профессиональных экспектаций,"Кризис адаптации молодого специалиста, вызванный жестким несовпадением его идеальных ожиданий от профессии с производственной реальностью."
developmental-psych,Кризис середины жизни,"Долговременное эмоциональное состояние в зрелом возрасте, связанное с переосмыслением ценностей, оценкой достижений и поиском новых смыслов."
developmental-psych,Деятельностная самореализация,"Форма самовыражения личности зрелого возраста в различных видах активности, обеспечивающая высокий уровень профессиональной компетенции."
developmental-psych,Геронтопсихология,"Отрасль возрастной психологии, изучающая психологические особенности, законы и специфику психического старения людей позднего возраста."
developmental-psych,Кристаллизованный интеллект,"Компонент интеллекта по Р. Кеттеллу; объем накопленных за жизнь системных знаний, кругозора и опыта, сохраняющийся и растущий в старости."
developmental-psych,Подвижный интеллект,"Компонент интеллекта по Р. Кеттеллу; врожденная скорость переработки новой информации и обучаемость, биологически снижающаяся с возрастом."
